,0,1
0,Physicians and surgeons,Physicists
1,"Electrical and electronics repairers, transportation equipment, and industrial and utility",trade and technical teachers
2,"Heating, air conditioning, and refrigeration mechanics and installers",mechanics
3,Information security analysts,systems analysts
4,"Engineering technicians, except drafters",technicians
5,Taxi drivers and chauffeurs,drivers
6,Refuse and recyclable material collectors,administrators and managers
7,Cost estimators,actors
8,Procurement clerks,lawyers
9,Writers and authors,writers
10,Childcare workers,child care workers
11,Audiologists,biologists
12,Agricultural and food scientists,scientists
13,"Miscellaneous engineers, including nuclear engineers",engineers
14,"Meter readers, utilities",teachers
15,Sewing machine operators,actors
16,"Motor vehicle operators, all other",actors
17,Construction laborers,laborers
18,Medical records and health information technicians,technicians
19,"Forging machine setters, operators, and tenders, metal and plastic",trade and technical teachers
20,Precision instrument and equipment repairers,trade and technical teachers
21,Public relations specialists,public relations
22,Postsecondary teachers,teachers
23,Designers,designers
24,Editors,editors
25,"Information and record clerks, all other",waiters and waitresses
26,Chiropractors,chiropractors
27,Miscellaneous entertainment attendants and related workers,government workers
28,Private detectives and investigators,detectives
29,"Production, planning, and expediting clerks",trade and technical teachers
30,"Rolling machine setters, operators, and tenders, metal and plastic",trade and technical teachers
31,First-line supervisors of fire fighting and prevention workers,government workers
32,Barbers,farmers
33,Civil engineers,engineers
34,"Ushers, lobby attendants, and ticket takers",trade and technical teachers
35,"Electronic equipment installers and repairers, motor vehicles",trade and technical teachers
36,"Miscellaneous woodworkers, including model makers and patternmakers",trade and technical teachers
37,"Cement masons, concrete finishers, and terrazzo workers",government workers
38,Industrial and refractory machinery mechanics,mechanics
39,"Crushing, grinding, polishing, mixing, and blending workers",government workers
40,"Medical, dental, and ophthalmic laboratory technicians",technicians
41,"Counter attendants, cafeteria, food concession, and coffee shop",trade and technical teachers
42,"Compensation, benefits, and job analysis specialists",trade and technical teachers
43,"Wholesale and retail buyers, except farm products",trade and technical teachers
44,"Securities, commodities, and financial services sales agents",financial officers
45,Security guards and gaming surveillance officers,financial officers
46,Administrative services managers,managers
47,Computer hardware engineers,engineers
48,Adhesive bonding machine operators and tenders,trade and technical teachers
49,Telephone operators,actors
50,"Interviewers, except eligibility and loan",administrators and managers
51,First-line supervisors of police and detectives,police
52,First-line supervisors of gaming workers,government workers
